document_id,relative_path,line_number,matched_terms,line_text
HANDALA-RESPONSE.md,HANDALA-RESPONSE.md,1,handala,# Handala Threat Response
README.md,README.md,1,handala|stryker,# ORDL Infrastructure - Handala & Stryker Defense
README.md,README.md,5,handala|stryker,This repository contains production-ready defensive infrastructure for detecting and remediating **Handala exploits** and **Stryker incidents** affecting organizations globally.
STRYKER-INCIDENT-RESPONSE.md,STRYKER-INCIDENT-RESPONSE.md,1,stryker,# Stryker Incident Response
handala-security/Detect-HandalaThreats.ps1,handala-security/Detect-HandalaThreats.ps1,7,handala|stryker,    Handala/Stryker-Style Wiper Attack Detection Suite
handala-security/Detect-HandalaThreats.ps1,handala-security/Detect-HandalaThreats.ps1,95,handala,"                Title = ""HANDALA-STYLE MASS WIPE DETECTED"""
handala-security/Detect-HandalaThreats.ps1,handala-security/Detect-HandalaThreats.ps1,115,handala|stryker,This pattern matches the Stryker/Handala attack methodology.
handala-security/Detect-HandalaThreats.ps1,handala-security/Detect-HandalaThreats.ps1,386,handala|stryker,"    Write-DetectionLog -Level ""INFO"" -Message ""=== Starting Handala/Stryker Detection Suite ==="" -EventId ""START-001"""
handala-security/Protect-SurgicalCenter.ps1,handala-security/Protect-SurgicalCenter.ps1,8,handala|stryker,    Implements defenses against Handala/Stryker-style wiper attacks
handala-security/Protect-SurgicalCenter.ps1,handala-security/Protect-SurgicalCenter.ps1,278,handala,"        $action = New-ScheduledTaskAction -Execute ""PowerShell.exe"" -Argument ""-ExecutionPolicy Bypass -File C:\SurgicalCenter\Security\Scripts\Detect-HandalaThreats.ps1"""
handala-security/Protect-SurgicalCenter.ps1,handala-security/Protect-SurgicalCenter.ps1,283,handala,"        Register-ScheduledTask -TaskName ""SC-HandalaDetection"" -Action $action -Trigger $trigger -Principal $principal -Settings $settings -Force"
handala-security/Restore-Hardening.ps1,handala-security/Restore-Hardening.ps1,14,handala,    - Detect-HandalaThreats.ps1 (scheduled tasks)
handala-security/Restore-Hardening.ps1,handala-security/Restore-Hardening.ps1,273,handala,"        Write-Host ""WHATIF: Would remove SC-HandalaDetection scheduled task"" -ForegroundColor Cyan"
handala-security/Restore-Hardening.ps1,handala-security/Restore-Hardening.ps1,278,handala,"        $task = Get-ScheduledTask -TaskName ""SC-HandalaDetection"" -ErrorAction SilentlyContinue"
handala-security/Restore-Hardening.ps1,handala-security/Restore-Hardening.ps1,281,handala,"            Write-Host ""`nScheduled detection task found: SC-HandalaDetection"" -ForegroundColor Yellow"
handala-security/Restore-Hardening.ps1,handala-security/Restore-Hardening.ps1,288,handala,"                    Disable-ScheduledTask -TaskName ""SC-HandalaDetection"""
handala-security/Restore-Hardening.ps1,handala-security/Restore-Hardening.ps1,292,handala,"                    Unregister-ScheduledTask -TaskName ""SC-HandalaDetection"" -Confirm:$false"
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,1,stryker,# Stryker Local Response Kit
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,3,stryker,This kit does not patch Stryker devices or vendor systems. It is for your facility side only.
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,7,stryker,- `detect-stryker-local.ps1`
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,9,stryker,- `defend-stryker-local.ps1`
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,11,stryker,- `reverse-stryker-defense.ps1`
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,32,stryker,.\\detect-stryker-local.ps1 -HoursBack 72
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,53,stryker,.\\defend-stryker-local.ps1
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,59,stryker,.\\defend-stryker-local.ps1 -BlockInboundRdp -DisableRemoteAssistance
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,65,stryker,.\\defend-stryker-local.ps1 -BlockInboundRdp -DisableRemoteAssistance -BlockCommonRemoteSupportTools
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,71,stryker,.\\defend-stryker-local.ps1 -VendorAccountsFile .\\vendor-accounts.txt
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,77,stryker,.\\defend-stryker-local.ps1 -BlockInboundRdp -DisableRemoteAssistance -WhatIf
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,85,stryker,.\\reverse-stryker-defense.ps1 -RestoreInboundRdp -RestoreRemoteAssistance -RemoveTemporaryFirewallRules
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,91,stryker,.\\reverse-stryker-defense.ps1 -VendorAccountsFile .\\vendor-accounts.txt
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,97,stryker,.\\reverse-stryker-defense.ps1 -ResponseDir .\\stryker-defend-20260312-130000 -RestoreInboundRdp -RestoreRemoteAssistance -RemoveTemporaryFirewallRules
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,103,stryker,.\\reverse-stryker-defense.ps1 -RestoreInboundRdp -RestoreRemoteAssistance -RemoveTemporaryFirewallRules -WhatIf
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,111,stryker,.\\build-federal-package.ps1 -DetectionDir .\\stryker-detect-20260312-130000 -ContainmentDir .\\stryker-defend-20260312-131500 -HoursBack 72 -CreateZip
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,118,stryker,  -DetectionDir .\\stryker-detect-20260312-130000 `
stryker-response-kit/RUNBOOK.md,stryker-response-kit/RUNBOOK.md,119,stryker,  -ContainmentDir .\\stryker-defend-20260312-131500 `
stryker-response-kit/build-federal-package.ps1,stryker-response-kit/build-federal-package.ps1,13,stryker,"    [string]$OutputDir = (Join-Path -Path $PWD -ChildPath (""stryker-federal-"" + (Get-Date -Format ""yyyyMMdd-HHmmss"")))"
stryker-response-kit/build-federal-package.ps1,stryker-response-kit/build-federal-package.ps1,275,stryker,"        ""Incident title: Potential downstream impact from Stryker network disruption"""
stryker-response-kit/build-federal-package.ps1,stryker-response-kit/build-federal-package.ps1,288,stryker,"        ""- Possible downstream exposure from Stryker-connected trust paths or vendor-linked disruption."""
stryker-response-kit/build-federal-package.ps1,stryker-response-kit/build-federal-package.ps1,303,stryker,"        ""- Review defend-stryker-local.ps1 output and actions.log if containment has been run."""
stryker-response-kit/build-federal-package.ps1,stryker-response-kit/build-federal-package.ps1,398,stryker,"            $_.DisplayGroup -in @(""Remote Desktop"", ""Remote Assistance"", ""Stryker Response Temporary"") -or"
stryker-response-kit/build-federal-package.ps1,stryker-response-kit/build-federal-package.ps1,399,stryker,"            $_.DisplayName -like ""Stryker Response Block *"""
stryker-response-kit/defend-stryker-local.ps1,stryker-response-kit/defend-stryker-local.ps1,7,stryker,"    [string]$OutputDir = (Join-Path -Path $PWD -ChildPath (""stryker-defend-"" + (Get-Date -Format ""yyyyMMdd-HHmmss"")))"
stryker-response-kit/defend-stryker-local.ps1,stryker-response-kit/defend-stryker-local.ps1,62,stryker,"                Where-Object { $_.DisplayGroup -eq ""Stryker Response Temporary"" } |"
stryker-response-kit/defend-stryker-local.ps1,stryker-response-kit/defend-stryker-local.ps1,119,stryker,"            DisplayName = ""Stryker Response Block OUT $safeName"""
stryker-response-kit/defend-stryker-local.ps1,stryker-response-kit/defend-stryker-local.ps1,123,stryker,"            DisplayName = ""Stryker Response Block IN $safeName"""
stryker-response-kit/defend-stryker-local.ps1,stryker-response-kit/defend-stryker-local.ps1,137,stryker,"                -DisplayGroup ""Stryker Response Temporary"" `"
stryker-response-kit/defend-stryker-local.ps1,stryker-response-kit/defend-stryker-local.ps1,208,stryker,"        $fallbackName = ""Stryker Response Block Inbound RDP 3389"""
stryker-response-kit/defend-stryker-local.ps1,stryker-response-kit/defend-stryker-local.ps1,212,stryker,"                -DisplayGroup ""Stryker Response Temporary"" `"
stryker-response-kit/detect-stryker-local.ps1,stryker-response-kit/detect-stryker-local.ps1,4,stryker,"    [string]$OutputDir = (Join-Path -Path $PWD -ChildPath (""stryker-detect-"" + (Get-Date -Format ""yyyyMMdd-HHmmss"")))"
stryker-response-kit/federal-triage-template.txt,stryker-response-kit/federal-triage-template.txt,1,stryker,Incident title: Potential downstream impact from Stryker network disruption
stryker-response-kit/federal-triage-template.txt,stryker-response-kit/federal-triage-template.txt,13,stryker,Stryker products/services in use:
stryker-response-kit/reverse-stryker-defense.ps1,stryker-response-kit/reverse-stryker-defense.ps1,8,stryker,"    [string]$OutputDir = (Join-Path -Path $PWD -ChildPath (""stryker-reverse-"" + (Get-Date -Format ""yyyyMMdd-HHmmss"")))"
stryker-response-kit/reverse-stryker-defense.ps1,stryker-response-kit/reverse-stryker-defense.ps1,52,stryker,"                    $_.DisplayGroup -eq ""Stryker Response Temporary"" -or"
stryker-response-kit/reverse-stryker-defense.ps1,stryker-response-kit/reverse-stryker-defense.ps1,53,stryker,"                    $_.DisplayName -like ""Stryker Response Block *"""
stryker-response-kit/reverse-stryker-defense.ps1,stryker-response-kit/reverse-stryker-defense.ps1,150,stryker,"            $_.DisplayGroup -eq ""Stryker Response Temporary"" -or"
stryker-response-kit/reverse-stryker-defense.ps1,stryker-response-kit/reverse-stryker-defense.ps1,151,stryker,"            $_.DisplayName -like ""Stryker Response Block *"""
stryker-response-kit/reverse-stryker-defense.ps1,stryker-response-kit/reverse-stryker-defense.ps1,155,stryker,"        if ($PSCmdlet.ShouldProcess($rule.DisplayName, ""Remove temporary Stryker response firewall rule"")) {"
stryker-response-kit/reverse-stryker-defense.ps1,stryker-response-kit/reverse-stryker-defense.ps1,162,stryker,"        Write-Action ""No temporary Stryker response firewall rules found"""
